APPENDIX 1 - MEDICATION LIST,,,,,,,
category,name,din,drugname,routeadm,strngth,subclnam,DDD
Alpha blockers,ALFUZOSIN,2414759,ALFUZOSIN,ER TAB,10MG,PROSTATIC HYPERPLASIA,1
Alpha blockers,ALFUZOSIN,2304678,ALFUZOSIN,TAB ER,10MG,PROSTATIC HYPERPLASIA,1
Alpha blockers,ALFUZOSIN,2315866,ALFUZOSIN,TAB ER,10MG,PROSTATIC HYPERPLASIA,1
Alpha blockers,ALFUZOSIN,2314282,ALFUZOSIN,TAB ER,10MG,PROSTATIC HYPERPLASIA,1
Alpha blockers,ALFUZOSIN HCL,2364395,ALFUZOSIN HCL,TAB ER,10MG,PROSTATIC HYPERPLASIA,1
Alpha blockers,ALFUZOSIN HCL,2447576,ALFUZOSIN HCL,ER TAB,10MG,PROSTATIC HYPERPLASIA,1
Alpha blockers,ALFUZOSIN HCL,2245565,ALFUZOSIN HCL,TAB ER,10MG,PROSTATIC HYPERPLASIA,1
Alpha blockers,ALFUZOSIN HCL,2443201,ALFUZOSIN HCL,ER TAB,10MG,PROSTATIC HYPERPLASIA,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,223071,ATORVASTATIN CALCIUM,FC TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2240397,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2302983,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2333724,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2333732,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2333740,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2333759,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2346486,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2346494,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2346508,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2346516,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2348624,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2348632,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2348640,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2348659,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2348705,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2348713,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2348721,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2351757,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2351765,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2351773,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2351781,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2355612,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2355620,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2355639,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2355647,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2359297,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2364441,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2364468,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2364476,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2364484,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2371082,ATORVASTATIN CALCIUM,FC TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2387891,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2387905,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2387913,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2387921,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2396424,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2396432,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2396440,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2396459,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2399480,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2399482,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2399490,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2399504,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2411350,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2411369,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2411377,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2411385,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2417936,ATORVASTATIN CALCIUM,TABLET,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2417944,ATORVASTATIN CALCIUM,TABLET,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2417960,ATORVASTATIN CALCIUM,TABLET,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2422751,ATORVASTATIN CALCIUM,TABLET,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2422778,ATORVASTATIN CALCIUM,TABLET,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2422786,ATORVASTATIN CALCIUM,TABLET,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2422794,ATORVASTATIN CALCIUM,TABLET,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2454017,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2454025,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2454033,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2454041,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,23113464,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,82230713,ATORVASTATIN CALCIUM,FC TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2230713,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2230711,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2230714,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2243097,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2295261,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2295288,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2295296,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2295318,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2302675,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2302683,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2302691,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2302713,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2310899,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2310902,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2310910,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2310929,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2313448,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2313456,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2313464,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2313472,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2313707,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2313715,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2313723,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2313758,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2350297,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2350319,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2350327,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2350335,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2288346,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2288354,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2288362,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2288370,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2324946,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2324954,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2324962,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2324970,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2348748,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2373203,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2373238,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2373246,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2373211,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2391058,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2399385,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2399377,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2399407,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2399393,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2391066,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2391074,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2391082,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2392933,ATORVASTATIN CALCIUM,TABLET,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2392941,ATORVASTATIN CALCIUM,TABLET,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2392968,ATORVASTATIN CALCIUM,TABLET,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2392976,ATORVASTATIN CALCIUM,TABLET,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2407256,ATORVASTATIN CALCIUM,TAB,10MG,ANTILIPEMIC: STATINS,0.5
Hydrophobic statins ,ATORVASTATIN CALCIUM,2407264,ATORVASTATIN CALCIUM,TAB,20MG,ANTILIPEMIC: STATINS,1
Hydrophobic statins ,ATORVASTATIN CALCIUM,2407272,ATORVASTATIN CALCIUM,TAB,40MG,ANTILIPEMIC: STATINS,2
Hydrophobic statins ,ATORVASTATIN CALCIUM,2407280,ATORVASTATIN CALCIUM,TAB,80MG,ANTILIPEMIC: STATINS,4
Hydrophobic statins ,ATORVASTATIN CALCIUM,2417952,ATORVASTATIN CALCIUM,TABLET,40MG,ANTILIPEMIC: STATINS,2
Glaucoma eye drops ,BRIMONIDINE,2305429,BRIMONIDINE,OPH SOL,0.20%,ADRENERGIC AGONISTS,1
Glaucoma eye drops ,BRIMONIDINE TARTRATE,2236877,BRIMONIDINE TARTRATE,OPH SOL,0.50%,ADRENERGIC AGONISTS,2.5
Glaucoma eye drops ,BRIMONIDINE TARTRATE,2245942,BRIMONIDINE TARTRATE,OPH SOL,0.20%,ADRENERGIC AGONISTS,1
Glaucoma eye drops ,BRIMONIDINE TARTRATE,2246283,BRIMONIDINE TARTRATE,OPH SOL,0.20%,ADRENERGIC AGONISTS,1
